Fx,Fy,Fz,Tx,Ty,Tz,Interval,Failure
-2,4,11,8,2,2,12,fr_collision
9,8,6,-28,22,1,13,fr_collision
0,-3,63,-1,0,0,2,normal
8,-17,50,16,-1,-2,1,collision
-3,14,5,6,5,-4,10,obstruction
2,0,69,-10,2,1,1,normal
0,1,24,11,0,-2,11,fr_collision
35,17,-197,-238,-28,-35,13,obstruction
-1,-1,60,-3,0,0,14,normal
0,-4,57,1,-4,0,8,collision
-35,29,-83,-190,-137,15,14,fr_collision
1,-2,63,-4,-1,0,10,normal
7,-6,54,0,7,-1,7,obstruction
-3,3,57,-8,-3,-1,6,normal
6,-1,63,0,9,-6,9,collision
39,26,-68,-60,35,-10,6,obstruction
-1,2,55,-13,-3,1,4,normal
-14,-10,52,15,-77,0,1,collision
1,0,57,8,5,7,1,obstruction
11,14,-24,-35,27,1,12,fr_collision
-5,-2,58,-5,-11,0,11,obstruction
-112,33,-702,-567,-477,66,9,obstruction
2,2,45,0,13,1,6,fr_collision
-251,195,-1286,279,-80,-62,5,obstruction
1,-2,65,-5,0,0,15,collision
-20,107,-554,-340,-91,-12,2,obstruction
-10,-2,64,3,-19,0,4,collision
-2,3,56,-15,-6,0,9,normal
-1,0,57,-7,-4,-1,13,normal
19,14,2,-42,10,-7,15,fr_collision
-6,10,-77,-103,-56,-6,5,obstruction
9,-25,54,26,7,0,2,collision
-3,2,50,-13,-6,-1,15,normal
-2,3,57,-12,-4,-1,5,normal
0,-3,70,0,1,0,12,normal
2,0,62,-6,2,-1,5,collision
14,19,-52,-45,36,1,5,fr_collision
-1,1,34,-18,-10,0,4,fr_collision
-1,-1,57,-9,-4,0,6,normal
0,-1,59,-4,-5,-1,7,normal
4,9,54,-25,2,-4,3,obstruction
1,1,56,-12,-4,-2,7,obstruction
-12,43,-155,-158,-57,-3,4,fr_collision
-10,12,23,-66,-36,1,10,fr_collision
-1,3,59,-16,-8,-1,8,normal
-2,4,74,-17,-7,0,11,collision
0,-3,57,3,-4,0,8,normal
13,-63,-598,-425,-63,2,11,obstruction
68,47,-1145,-131,-633,-32,4,obstruction
-104,-105,-1173,-221,230,16,3,obstruction
20,-25,-1326,-166,-275,-4,5,obstruction
-38,-10,43,-8,-27,-4,3,collision
4,8,44,-26,2,-1,2,fr_collision
6,-10,-323,-220,-97,0,2,obstruction
-1,2,64,-14,-5,-1,15,normal
-2,-12,58,6,-6,-2,9,obstruction
2,3,-97,114,45,7,9,obstruction
-15,53,74,-67,-8,1,4,collision
-1,3,63,-16,-8,-1,14,normal
10,-57,-599,-426,-67,4,14,obstruction
3,0,35,-21,-3,-1,6,fr_collision
-5,-4,-11,-39,-38,3,13,fr_collision
1,-1,50,-5,-8,-1,4,collision
-1,-2,54,-3,-3,-1,15,normal
-3,-10,-1547,-127,-70,-25,15,obstruction
-1,3,46,-3,-2,1,1,fr_collision
-1,2,58,-12,-4,0,14,normal
14,15,-35,-38,35,1,15,fr_collision
0,3,58,-13,-4,0,6,normal
-1,2,56,-9,-5,0,7,normal
-12,60,-254,52,104,18,8,obstruction
5,-24,74,50,-19,-2,3,collision
-1,2,61,-9,-4,-1,15,obstruction
339,154,-1036,-134,471,42,13,obstruction
-2,3,57,-17,-8,0,9,normal
-19,127,-728,-391,-100,-14,5,obstruction
-10,2,39,-21,-24,5,11,fr_collision
-26,76,-1352,-127,-96,-9,2,obstruction
6,-4,-14,-52,-20,0,15,fr_collision
5,4,-97,109,52,10,12,obstruction
-26,-3,-300,220,55,-6,3,obstruction
-21,29,34,-61,-45,-3,6,obstruction
-1,-1,63,-3,-1,0,1,normal
0,-3,53,-2,-1,-3,5,collision
20,19,-174,-43,45,2,15,fr_collision
1,-4,66,1,-1,0,6,normal
-1,1,61,-13,-5,-1,9,normal
18,14,-113,74,140,12,1,obstruction
-106,34,-626,-524,-440,62,8,obstruction
-11,3,42,-22,-27,6,9,fr_collision
0,0,58,-10,-2,0,13,obstruction
-11,14,17,-83,-44,2,14,fr_collision
3,4,-115,-143,-58,-4,10,obstruction
-1,1,58,-11,-4,-1,1,normal
0,3,63,-13,0,-2,11,collision
0,0,58,-9,-1,0,3,normal
24,-127,-866,-259,-238,25,6,obstruction
-26,87,-454,51,150,18,1,obstruction
-7,89,-553,196,245,38,14,obstruction
69,14,48,-40,100,0,2,collision
1,0,60,-7,-1,0,11,normal
0,0,57,-8,-6,-1,13,collision
-5,-6,9,-20,-27,3,11,fr_collision
-2,0,-2,-19,-15,-2,6,obstruction
-7,31,75,-40,-12,-10,5,collision
-1,-86,-628,-338,-98,16,1,obstruction
-6,1,27,13,-10,0,6,fr_collision
-1,-1,54,-12,-8,0,13,normal
-2,4,37,0,2,2,3,fr_collision
-3,3,58,-10,-5,0,11,normal
-31,141,-589,-360,-74,-16,14,obstruction
0,1,65,-12,-3,-2,13,normal
-25,78,-429,60,144,17,15,obstruction
-14,17,0,-95,-54,4,2,fr_collision
0,1,66,-13,-5,-1,10,normal
-1,0,59,-11,-4,-1,13,normal
-66,-110,-614,-340,-284,83,7,obstruction
-7,10,34,-58,-30,2,7,fr_collision
13,-22,-605,-370,-171,-3,5,obstruction
-38,130,-786,191,315,29,6,obstruction
4,-4,42,-4,2,0,5,obstruction
58,45,-924,-83,126,6,9,obstruction
1,1,56,-5,0,0,7,normal
-1,1,58,-8,-4,1,1,normal
-1,3,67,-11,-2,1,4,normal
-1,1,67,-9,-4,-1,1,normal
-25,7,-486,297,130,0,5,obstruction
0,1,70,-10,-2,-1,1,fr_collision
-4,7,10,5,0,1,1,obstruction
64,-61,-95,142,91,15,4,obstruction
-1,-1,63,-3,0,0,6,normal
3,2,-21,59,32,9,15,obstruction
-11,14,18,-79,-42,2,13,fr_collision
-29,-9,-256,-267,12,-2,6,obstruction
1,-1,62,-6,0,0,4,normal
-1,2,52,-5,-2,-5,10,collision
3,-12,59,10,3,-1,7,collision
-3,2,59,-7,-4,0,8,normal
-1,-86,-628,-338,-98,16,2,obstruction
1,3,62,-11,0,0,4,normal
-105,71,-957,404,112,-26,11,obstruction
1,-17,56,12,1,1,5,collision
-2,2,52,-18,-9,-1,12,normal
-1,1,61,-6,0,-1,7,normal
4,-3,-90,-28,-20,12,3,obstruction
-5,-1,36,-17,-24,2,8,fr_collision
-1,-1,60,-3,-5,0,11,normal
-1,3,63,-13,-6,0,4,normal
1,-3,51,-2,-3,0,15,collision
-15,-9,-26,70,-22,-11,1,fr_collision
10,16,-91,-160,-47,-14,12,obstruction
11,-2,73,-4,22,-2,4,obstruction
-35,-79,-685,-418,-206,46,2,obstruction
-15,-8,-27,74,-20,-11,2,fr_collision
-1,0,57,-8,-3,1,9,normal
0,-1,69,-4,2,-1,1,normal
0,5,10,17,6,-3,13,obstruction
0,2,50,-13,-4,-1,1,normal
6,11,29,-32,15,0,6,fr_collision
2,-2,60,-2,3,1,8,normal
-1,-1,59,-1,-4,0,9,collision
-35,-79,-685,-418,-206,46,3,obstruction
23,18,-27,-49,14,-10,2,obstruction
-15,76,-345,75,126,25,10,obstruction
-1,3,63,-11,-3,-1,15,collision
-25,21,-47,-145,-97,4,10,fr_collision
-1,6,74,-16,-4,-1,10,collision
-3,4,60,-12,-4,0,2,normal
61,37,-411,-460,-47,-66,3,obstruction
13,-3,66,3,18,0,8,collision
2,3,-117,-148,-58,-5,14,obstruction
7,8,32,-32,4,-2,6,fr_collision
-3,1,60,-6,-4,0,13,collision
-1,3,68,-9,-4,0,10,normal
2,12,-991,-197,-70,-20,13,obstruction
0,1,70,-9,-2,-1,11,normal
-7,31,0,-51,-16,-1,3,obstruction
-2,1,64,-10,-6,0,15,collision
2,-49,-590,-390,-64,10,11,obstruction
0,-3,64,-3,-4,-1,7,collision
-6,3,52,-15,-17,3,1,fr_collision
49,37,-331,-397,-42,-58,11,obstruction
-1,-1,61,-3,0,0,11,normal
-1,-1,63,-3,-1,0,6,normal
-69,49,-783,357,135,-11,7,obstruction
-8,20,-5,-26,-10,-1,1,obstruction
0,4,6,24,14,0,14,fr_collision
-1,-1,73,-8,-5,0,12,normal
-17,99,-511,-319,-87,-10,1,obstruction
0,1,63,-6,-2,-1,5,normal
3,-2,61,-7,-1,0,6,collision
-1,0,57,-6,-5,0,8,normal
-6,15,-414,-53,16,-5,1,obstruction
-2,2,58,-8,-4,-1,13,normal
-6,27,-288,140,23,-2,1,obstruction
-8,2,43,-16,-20,5,5,fr_collision
13,-17,73,23,14,-2,4,collision
-249,200,-1293,298,-70,-64,4,obstruction
-21,-59,-1162,-239,2,-5,2,obstruction
-2,5,64,-15,-2,0,9,normal
-9,6,-217,-253,34,4,9,obstruction
-5,7,11,6,0,0,11,fr_collision
-2,3,61,-10,-5,0,8,normal
-1,0,63,-10,-3,1,13,normal
-2,1,56,-10,-3,0,10,normal
-2,2,61,-12,-6,0,15,collision
-8,1,53,-9,-15,-1,9,collision
185,105,118,-180,374,12,1,collision
45,27,-83,-63,45,-9,7,obstruction
-3,0,57,-6,-5,-1,6,collision
-4,-7,10,42,3,-3,12,fr_collision
-7,10,34,-56,-29,1,6,fr_collision
0,-5,61,2,-2,1,7,collision
-10,-3,58,-5,-16,-1,9,obstruction
-18,-9,46,-4,-11,-2,1,obstruction
253,126,-780,-142,327,22,4,obstruction
-1,0,60,-9,-5,-1,6,normal
0,2,61,-12,-2,5,1,normal
14,17,69,-45,13,-5,3,collision
125,60,-346,-88,154,4,14,obstruction
9,16,-88,-157,-47,-14,15,obstruction
26,19,-152,-203,-31,-30,12,obstruction
-1,0,59,-8,-7,0,15,collision
6,9,15,-28,17,1,1,fr_collision
-14,62,-256,-213,-67,-5,10,fr_collision
27,-38,-640,-498,-38,3,8,obstruction
-59,44,-205,-305,-226,37,1,obstruction
1,-4,57,-4,-2,-2,14,obstruction
-1,0,63,-7,-2,-1,4,normal
0,4,58,-14,-4,0,10,obstruction
-5,12,58,-26,-10,0,6,obstruction
1,0,61,-7,-2,0,12,collision
-49,54,79,-75,-60,8,3,collision
-260,236,-1501,327,2,-50,15,obstruction
-4,-4,33,21,-1,-1,8,fr_collision
0,-2,61,-6,-1,0,15,normal
-1,1,13,-44,-30,2,5,obstruction
-1,-5,47,14,0,-1,5,fr_collision
-1,-1,61,-2,-2,0,2,normal
-2,0,58,-12,-8,-1,7,normal
10,16,-89,-158,-47,-14,14,obstruction
-4,1,59,-6,-7,5,11,collision
3,2,-23,56,33,10,10,obstruction
1,2,51,-13,-4,-2,5,obstruction
-1,2,63,-12,-6,1,3,normal
6,9,15,-28,17,1,9,fr_collision
-1,0,61,-4,-3,-1,9,normal
-26,-10,37,12,-50,-3,2,collision
-248,190,-1252,295,-92,-68,9,obstruction
4,-3,63,-5,3,-1,9,collision
-8,0,46,-16,-21,5,7,fr_collision
-24,-9,-90,111,-21,-15,11,fr_collision
-29,-4,-246,192,24,-10,2,obstruction
-25,2,-386,255,92,-2,4,obstruction
-248,185,-1248,277,-100,-64,11,obstruction
-1,3,63,-12,-6,0,12,normal
6,8,39,-26,2,-2,4,fr_collision
-8,21,-100,52,15,0,6,obstruction
7,8,39,-29,4,-2,5,fr_collision
2,-9,49,3,2,0,9,collision
6,-9,4,-17,-8,3,14,fr_collision
-1,-3,58,-2,-5,0,10,collision
4,4,58,-15,3,-1,8,obstruction
-14,51,-182,-175,-64,-4,6,fr_collision
2,-2,58,-5,-2,-1,11,obstruction
10,-57,-599,-426,-67,4,15,obstruction
-90,142,-1130,523,-21,-36,5,obstruction
-15,-12,-53,99,-10,-11,8,fr_collision
-5,7,41,-42,-20,1,2,fr_collision
10,-20,22,12,9,-1,3,obstruction
-1,1,58,-9,-3,0,15,collision
3,-13,61,10,-1,1,5,collision
222,112,-667,-136,290,20,3,obstruction
-4,5,66,-7,-8,0,6,collision
0,-4,63,1,0,0,4,normal
-3,4,26,-39,-26,1,13,fr_collision
-1,0,67,-9,-6,0,13,collision
-20,-148,-923,-396,-156,36,3,obstruction
5,5,-100,110,53,9,13,obstruction
-2,1,60,-12,-6,3,12,normal
-1,-1,57,-7,-4,0,5,normal
-1,-2,68,-2,-2,0,4,normal
8,-3,57,-1,9,1,7,collision
338,155,-1074,-122,462,39,10,obstruction
-2,7,11,6,2,2,15,fr_collision
-1,-2,59,-8,-1,0,8,normal
-2,0,57,-7,-3,1,2,normal
21,6,79,-36,59,-2,2,collision
1,3,-116,-145,-61,-5,11,obstruction
-1,2,60,-9,-5,0,11,normal
-27,-12,-114,131,-20,-16,12,fr_collision
-1,0,60,-13,-5,0,7,normal
-37,26,-779,-150,5,3,1,obstruction
11,-3,-301,-267,-88,-16,1,obstruction
4,2,-91,109,48,7,11,obstruction
1,-3,47,-9,-7,0,2,fr_collision
1,1,65,-6,2,0,15,collision
-88,-121,-1299,-229,137,1,3,obstruction
4,4,27,-37,-11,-2,9,fr_collision
-4,7,59,-18,-8,-1,12,obstruction
3,2,38,-23,-4,-1,3,fr_collision
7,8,26,-28,18,0,7,fr_collision
0,-8,63,2,-3,0,9,collision
10,-17,50,18,9,-2,3,collision
12,17,-63,-42,30,2,6,fr_collision
4,-5,60,-1,3,-1,9,obstruction
-1,1,61,-8,-4,0,13,obstruction
-12,-2,-33,-55,-59,4,15,fr_collision
-12,41,-133,-150,-53,-3,1,fr_collision
-1,0,57,-5,-3,0,11,normal
-13,4,26,-29,-27,5,14,fr_collision
8,11,24,-31,17,1,10,fr_collision
6,-4,57,-2,5,0,7,collision
-1,1,65,-10,-4,0,13,collision
14,13,-26,-36,32,2,13,fr_collision
340,151,-1041,-140,458,39,12,obstruction
-5,0,54,-1,-7,0,10,collision
1,-2,53,-4,-4,-1,14,collision
-1,-1,63,-3,0,0,8,normal
-1,1,53,-8,-5,3,3,normal
-66,-110,-614,-340,-284,83,6,obstruction
-8,6,-210,-242,31,3,8,obstruction
-1,0,57,-8,-6,-1,14,collision
-1,1,51,-11,-4,0,5,normal
0,0,67,-11,-3,-1,3,normal
3,-5,54,0,3,-1,8,collision
-3,0,61,0,-5,-1,11,collision
8,-12,-396,-261,-115,1,1,obstruction
-1,-2,56,-4,-5,-2,11,collision
-1,-4,59,-5,-7,0,6,obstruction
-21,121,-657,-374,-99,-12,4,obstruction
8,-1,66,1,12,1,9,collision
7,6,-90,111,37,-1,6,obstruction
63,-9,6,-34,159,-10,3,collision
-25,123,-1491,-346,-127,-14,13,obstruction
-2,68,-441,171,207,31,7,obstruction
11,-50,-606,-445,-70,3,10,obstruction
0,-5,60,-1,-4,0,8,collision
1,-1,72,-6,-2,0,3,normal
3,7,3,6,36,5,9,fr_collision
3,4,-27,59,34,10,13,obstruction
-2,77,-487,179,227,36,1,obstruction
0,1,56,-8,-3,-1,8,normal
0,-1,67,-6,0,-1,13,normal
-116,-27,-929,-540,-543,86,12,obstruction
-1,0,64,-2,-1,0,15,normal
-2,64,-424,168,199,29,13,obstruction
-2,73,-462,175,218,32,3,obstruction
70,54,-1251,-101,151,6,11,obstruction
-16,83,-394,-274,-79,-8,15,fr_collision
-110,83,-1018,410,118,-21,9,obstruction
17,-49,-768,-396,-215,3,14,obstruction
-26,-15,-160,162,-4,-15,14,fr_collision
-2,1,56,-16,-8,-1,14,normal
0,1,66,-6,-3,-1,14,normal
-248,188,-1249,290,-93,-68,10,obstruction
-5,5,17,9,-2,0,9,fr_collision
0,1,58,-9,-5,-1,14,collision
21,37,115,-85,55,-4,2,collision
1,-2,59,-7,0,-1,15,normal
0,7,69,-21,14,-15,2,collision
-13,15,-2,-88,-51,3,1,fr_collision
0,-3,58,-5,1,0,5,normal
-78,-159,-1032,-535,-395,104,3,obstruction
-105,63,-912,394,100,-25,15,obstruction
0,0,56,0,3,0,13,collision
2,4,59,-14,1,-1,13,collision
-4,9,51,-15,-2,11,7,collision
0,-8,-177,-134,-71,1,7,obstruction
2,3,-118,-148,-58,-5,15,obstruction
-1,-1,56,-10,-3,0,13,normal
0,0,59,-6,-3,0,14,collision
-1,8,10,4,4,2,2,obstruction
0,-2,63,-4,0,0,14,normal
-1,-1,64,-3,-1,0,12,normal
6,1,-22,-64,-23,-3,7,obstruction
-1,0,53,-10,-5,-1,10,normal
28,16,-26,-47,25,-9,3,obstruction
-4,2,23,6,-5,0,5,fr_collision
-115,-4,-848,-558,-527,81,11,obstruction
42,28,-540,-54,92,5,5,obstruction
4,-14,59,82,-85,13,1,collision
1,-1,53,-4,-4,-2,13,collision
55,37,-812,-69,116,6,8,obstruction
3,2,-93,110,45,7,10,obstruction
1,-1,60,-9,-3,-1,5,normal
6,9,37,-30,15,0,5,fr_collision
-1,-1,63,-3,0,0,10,normal
28,-103,-826,-278,-237,6,2,obstruction
5,-15,3,-6,-8,3,9,fr_collision
4,-12,4,-10,-12,3,8,fr_collision
-3,3,59,-5,-4,0,13,collision
-1,-1,47,-3,-2,0,11,normal
14,13,-887,-220,-184,-14,4,obstruction
-15,54,-216,-188,-66,-4,8,fr_collision
-1,3,70,-10,-2,-1,7,normal
-115,18,-774,-563,-502,73,10,obstruction
-33,28,-76,-181,-125,13,13,fr_collision
-14,-4,-51,-62,-70,6,1,obstruction
0,0,60,-8,-6,-1,15,collision
17,9,43,-18,48,-4,2,collision
19,-6,-380,32,25,1,15,obstruction
-1,-1,56,-7,-3,0,6,normal
1,-7,68,6,2,0,5,normal
-13,88,-472,137,194,29,12,obstruction
10,-56,-599,-427,-65,3,14,obstruction
-1,1,62,-7,1,-1,5,normal
5,8,41,-29,3,-2,3,fr_collision
-18,17,-20,-108,-67,6,6,fr_collision
4,6,-108,116,49,8,8,obstruction
-2,4,54,-10,-4,0,10,normal
0,1,67,-9,-2,1,9,normal
-1,2,59,-12,-6,0,13,collision
-13,-12,-558,-450,-108,21,1,obstruction
0,-1,59,-2,-1,-1,1,normal
-32,77,-498,107,150,16,4,obstruction
-1,1,56,-8,-3,0,9,normal
0,0,62,-3,-1,0,2,normal
-1,2,64,-7,-2,0,11,normal
6,-5,63,-1,2,0,9,collision
1,6,-112,-142,-66,-2,7,obstruction
1,-3,65,-1,1,0,10,normal
0,-3,63,-7,-1,0,8,normal
53,19,-313,-337,-31,-53,15,obstruction
-3,5,61,-18,-7,-1,7,normal
-3,3,64,-7,-6,1,15,collision
-104,64,-918,396,101,-23,14,obstruction
-15,68,-303,-233,-71,-6,12,fr_collision
-1,-1,63,-3,0,0,1,normal
14,13,-26,-36,32,2,1,fr_collision
-1,0,57,-9,-4,-1,12,normal
2,6,58,-17,-2,-1,9,obstruction
-2,-8,39,34,3,-2,9,fr_collision
-5,0,36,7,-9,-1,2,fr_collision
3,1,-15,53,30,7,9,obstruction
-2,5,58,-17,-6,-1,14,obstruction
-14,-9,-26,76,-23,-12,3,fr_collision
-1,2,59,-15,-1,0,4,collision
-8,-9,4,58,-11,-7,15,fr_collision
71,51,5,686,494,-137,1,collision
-2,10,-31,21,29,5,1,obstruction
10,-4,52,-2,8,-3,6,collision
-1,0,54,11,6,8,2,obstruction
-4,0,-297,-69,-39,-6,10,obstruction
-1,-1,64,-3,-1,0,15,normal
-1,0,52,-8,-2,0,13,normal
0,-2,50,-3,-1,0,13,normal
-1,0,65,-6,-2,-1,14,normal
1,-9,56,1,-1,0,6,collision
-1,-4,43,1,-8,0,3,collision
342,154,-1036,-118,466,44,14,obstruction
0,-3,50,-1,-10,0,4,collision
9,12,2,-32,23,0,15,fr_collision
-3,71,-456,173,213,32,4,obstruction
4,1,64,-2,7,1,15,collision
-3,0,15,-16,-14,-1,5,obstruction
1,1,64,1,2,1,11,collision
2,-9,-215,-152,-69,-1,8,obstruction
-250,190,-1259,296,-95,-68,8,obstruction
287,142,-930,-138,362,27,5,obstruction
-10,5,75,-36,34,-2,2,collision
-1,-1,61,-3,0,0,3,normal
-49,60,-727,299,188,7,9,obstruction
0,6,57,-18,-3,-1,10,obstruction
-32,-176,-1168,-495,-210,52,4,obstruction
-2,-1,23,-13,-9,-2,4,obstruction
3,4,-113,-146,-54,-4,9,obstruction
31,20,-42,-55,25,-8,4,obstruction
-1,-1,61,-5,-1,-1,1,obstruction
-1,-1,60,-5,-5,0,6,normal
-1,-3,58,-3,-5,0,11,collision
-15,-10,-33,84,-15,-10,6,fr_collision
-16,-9,-84,-69,-87,9,3,obstruction
1,1,53,-6,3,1,3,fr_collision
171,86,-486,-113,222,13,1,obstruction
18,12,-95,-142,-27,-18,10,obstruction
7,1,59,-11,7,1,8,collision
1,1,59,-10,-2,0,15,collision
-5,-7,62,0,-13,0,4,obstruction
-134,53,108,-59,-173,-23,2,collision
0,-4,61,-1,-3,-2,8,collision
-1,0,50,-16,-9,0,15,normal
-12,49,-169,-171,-58,-4,5,fr_collision
198,96,-566,-125,261,15,2,obstruction
0,0,56,-11,-6,-2,11,normal
-9,5,46,-21,-22,4,3,fr_collision
4,-10,6,-13,-12,2,12,fr_collision
-1,-1,61,-3,0,0,3,normal
-3,0,67,-2,-7,1,14,collision
1,48,-276,133,94,13,12,obstruction
-1,0,49,-9,-3,-1,14,collision
-43,-86,-750,-315,127,10,2,obstruction
-12,54,-195,-184,-60,-5,7,fr_collision
0,1,60,-14,-5,0,11,normal
65,32,-438,-467,-48,-69,2,obstruction
5,-6,63,2,3,1,7,collision
-1,6,56,-18,-8,0,8,obstruction
-13,2,15,-25,-25,6,15,fr_collision
-5,56,-214,31,100,23,7,obstruction
10,2,66,-6,13,0,6,collision
-2,1,57,-6,-3,0,8,normal
-1,0,56,-10,-8,0,15,obstruction
1,-1,64,-5,-1,-1,2,normal
-1,2,60,-13,-3,-2,12,normal
37,-10,-335,-335,-46,-18,11,obstruction
3,-48,-581,-381,-52,6,9,obstruction
-1,0,64,-9,-5,-1,15,normal
-3,-1,-59,-27,-23,-2,7,obstruction
342,154,-1036,-118,466,44,15,obstruction
-1,-1,63,-3,-1,0,9,normal
-13,67,-278,-226,-67,-6,11,fr_collision
11,14,-21,-36,27,1,9,fr_collision
-6,-72,-588,-378,-65,2,7,obstruction
-1,2,61,-11,-3,-1,14,collision
-7,6,-226,-259,38,4,11,obstruction
-1,0,58,-8,-6,0,2,normal
-1,-1,64,-2,0,0,14,normal
9,12,-34,24,72,10,12,fr_collision
6,-10,-323,-220,-97,0,10,obstruction
-31,0,-398,-259,4,25,1,obstruction
-24,134,-1287,-390,-121,-15,11,obstruction
8,11,26,-38,-1,-4,9,fr_collision
0,0,57,-8,-4,-1,7,normal
-1,1,43,-18,-1,0,14,obstruction
-1,2,57,-10,-3,0,1,normal
1,-46,-598,-397,-57,6,10,obstruction
17,17,-139,-40,39,2,13,fr_collision
-29,-10,-208,180,12,-11,1,obstruction
-1,-1,63,-3,-1,0,5,normal
-20,55,-918,-90,-77,-6,1,obstruction
0,1,58,-8,-1,-1,6,normal
-5,-1,60,-6,-11,-1,6,collision
-1,1,61,-8,-4,-1,14,obstruction
-1,0,61,-5,-5,0,13,normal
5,-4,-345,-185,0,0,1,obstruction
1,1,63,-10,-2,-1,14,normal
-25,142,-966,-427,-118,-15,8,obstruction
-1,1,66,-9,-4,-1,9,normal
