Sequence Name,mcg,gvh,lip,chg,aac,alm1,alm2,Protein Site
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
